id,test,purchase,site,impressions,income,gender,gamer
1956,0,0,site1,0,100,1,0
45821,1,0,site1,20,70,1,0
59690,1,0,site1,22,100,1,0
18851,0,0,site1,13,90,1,0
60647,1,0,site1,12,60,1,0
30908,1,0,site1,0,40,1,0
13352,0,0,site1,0,60,1,0
4187,1,0,site1,16,80,1,0
40300,1,1,site1,9,80,1,1
13373,0,0,site1,20,40,1,0
13376,1,0,site1,68,60,1,1
10208,1,1,site1,1,60,1,0
47874,1,1,site1,11,70,1,0
66400,1,0,site1,1,50,1,1
19298,1,0,site1,133,40,1,0
59280,1,0,site1,9,60,1,1
13400,0,0,site1,2,50,1,0
15491,0,0,site1,0,50,1,1
65733,1,0,site1,113,60,1,0
44122,0,0,site1,178,80,0,0
24709,0,0,site1,38,70,0,0
36735,1,0,site1,57,90,1,0
10321,1,1,site1,343,50,1,1
29950,1,0,site1,5,70,0,0
13447,1,0,site1,6,70,1,1
6378,1,0,site1,6,40,0,0
1297,1,0,site1,368,80,1,1
3811,1,0,site1,6,70,1,1
13461,1,0,site1,50,40,1,0
29952,1,0,site1,17,90,1,1
56108,1,0,site1,28,40,0,0
13481,1,0,site1,55,60,1,0
58621,1,0,site1,57,80,1,1
63565,1,0,site1,29,80,1,0
6346,1,0,site1,56,80,1,1
65311,1,0,site1,16,70,0,1
57156,1,0,site1,7,60,0,1
51097,0,0,site1,26,70,0,1
13514,1,0,site1,53,50,0,1
25863,1,1,site1,32,70,1,0
57406,0,0,site1,0,60,1,0
65176,1,0,site1,2,50,1,0
8974,1,0,site1,20,70,1,1
55813,1,0,site1,62,80,0,1
7393,1,0,site1,304,60,0,0
58749,1,0,site1,222,60,1,0
13571,0,0,site1,21,70,1,1
13576,1,0,site1,158,50,1,0
26275,1,1,site1,1,60,0,0
22492,1,0,site1,1,80,1,1
13622,1,0,site1,31,50,1,0
39037,0,0,site1,240,60,1,0
51404,1,0,site1,7,50,0,0
46453,0,0,site1,2,60,1,1
67445,1,0,site1,338,90,1,0
45502,1,0,site1,11,50,1,1
13651,1,1,site1,56,100,1,1
26467,1,0,site1,13,60,1,1
13655,1,0,site1,279,50,0,0
15638,1,0,site1,37,50,1,1
13667,1,0,site1,6,50,1,1
36193,1,0,site1,4,60,1,1
64114,1,0,site1,1,50,1,0
54360,1,0,site1,361,90,0,1
48084,1,0,site1,0,60,1,1
32763,0,0,site1,55,50,0,0
22646,0,1,site1,0,50,0,0
48788,1,0,site1,9,40,1,0
