User,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,User 25,User 26,User 27,User 28,User 29,User 30,User 31,User 32,User 33,User 34,User 35,User 36,User 37,User 38,User 39,User 40,User 41
 The Social Network,5,3,,,4,4,,,5,,,1,3,,,2,4,,4,4,4,5,,5,5,5,,,,5,,,4,,3,,4,,4,3,5
 The King's Speech,3,4,,,4,,5,,5,,,3,5,,4,3,,,5,,4,5,,4,,4,,4,,5,5,,4,,,,,,4,3,
 La La Land,4,5,3,5,5,,,5,4,5,5,3,5,3,5,2,4,,,,,5,5,3,,3,5,4,5,,4,4,3,4,1,5,5,,5,,5
 Inception,5,5,,4,5,5,,,5,4,5,1,5,5,5,,3,4,5,4,5,5,,5,5,4,,5,,4,5,5,,,5,3,5,5,4,,4
 Avatar,5,3,,5,,3,5,,5,5,5,3,4,3,5,,4,,5,4,4,5,3,4,4,,5,5,5,5,4,5,4,3,3,4,4,4,3,2,
 Spotlight,,,,4,,4,,,,,,1,4,,,,,,,,5,,5,,,,,,,5,,,,,2,,,,5,,
 12 Years a Slave,2,,,,,3,,,5,,,3,4,,,,,,,,,,4,,5,,,,,,,,5,,,,,4,,,4
 Son of Saul,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Up in the Air,5,3,,,,4,,,,5,,1,4,,5,,4,,,,3,5,,,3,,,,,5,4,2,,,3,,,,,3,
 Inglourious Basterds,,4,,,,4,,,5,5,,1,3,,,,,,,,3,4,,5,3,,5,,,5,,,,,,,,,5,3,
 Mad Max: Fury Road,,3,,,,5,,,4,,,1,4,,,,,2,4,,4,,4,,,,3,,,3,,,,,,,,4,3,3,
 Birdman,4,4,,,,3,,,3,,,3,3,,,,,,,,,,4,,5,,4,3,,4,,,,,3,,,5,,,
 Manchester by the Sea,,4,,,,,,,,3,,1,5,,,2,,,,,,,5,,5,3,,4,,,,,,,,,,5,,,
 The Shape of Water,,,,,,,,,,4,,3,4,2,,2,,,,,,3,3,,,,,5,,,,,,,3,5,4,4,,,1
" Three Billboards Outside Ebbing, Missouri",,3,,5,,,,5,4,3,,1,5,,,2,,,,,,,5,,,,4,4,,,,5,,,,,,,,,
 Argo,,,5,,,4,,,,,,1,5,,,,,5,,,,5,,3,5,,,,,5,,,,,,,,,4,3,
 Gravity,5,,,5,4,,,5,4,,,1,5,5,3,,4,,4,4,,4,,,,,,4,,4,,,,,,,,3,4,,
 Black Swan,,,,,,2,,,,5,,1,3,5,,2,,,,,,4,5,,4,5,,4,,4,,4,,4,4,,5,5,4,,5
 The Wolf of Wall Street,5,4,,4,,4,5,3,5,,5,3,5,5,3,,3,4,5,5,3,5,4,5,4,4,,4,,4,4,3,,,4,,3,4,4,,5
 Life of Pi,5,5,,5,5,4,,4,5,,,3,5,5,,2,2,,,4,,4,4,5,,2,5,,3,,5,,,5,3,,3,5,5,,
 Arrival,,5,,,,4,4,,,5,,1,5,,,,5,3,,,,,4,,,,,,,,,,,,,,,3,4,,
 Call Me by Your Name,,,,,4,,,5,,4,,3,5,4,,2,,,,,,,3,,4,,4,5,,,,,,,,,3,,,,
 Winter's Bone,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The Grand Budapest Hotel,,4,,5,5,,,5,4,5,,1,5,,3,3,4,,,,,,,,,4,,4,,5,,,,,3,,,5,5,,
 Dunkirk,,5,,5,3,3,,5,5,5,,3,3,4,,3,,5,,5,,,,,,3,,,,,,4,,,1,,,5,,3,
 A Serious Man,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Toy Story 3,,,,,4,3,,,,4,5,1,5,,5,,3,,5,3,5,4,3,4,4,,4,4,,5,,,,,,,4,,4,,5
 The Imitation Game,,5,,,,4,,,5,4,5,1,5,,,,,5,4,,,4,,,,4,4,5,,4,4,4,,4,5,,,3,5,,
