userid,date,age,gender,metropolitan_area,device_type,active
4e3a9ea937b3a,8/4/15,30,F,Detroit,Tablet,1
4e3dd5154a08c,8/6/15,43,F,Charlotte,Desktop,1
4e3df1ecd131a,8/6/15,41,F,Tampa,Mobile,1
4e4e77461b1e3,8/19/15,56,F,Nashville,Desktop,1
4e4eb59b6de55,8/19/15,33,F,Detroit,Mobile,1
4e551b9fbe969,8/24/15,24,F,Birmingham,Mobile,1
4e57131ec1699,8/25/15,51,F,Nashville,Desktop,1
4e5c9ff1eb382,8/30/15,54,F,Birmingham,Tablet,1
4e5e7f3552b42,8/31/15,24,F,Houston,Tablet,1
4e5e8bedd74e3,8/31/15,26,F,Detroit,Mobile,1
4e5ea3c755939,8/31/15,28,F,Austin,Mobile,1
4e5eaf5faf4e3,8/31/15,30,F,Tampa,Mobile,1
4e61068267066,9/2/15,18,M,Houston,Mobile,1
4e654e1357d7c,9/5/15,50,F,Birmingham,Mobile,1
4e659cb802325,9/5/15,39,F,Birmingham,Tablet,1
4e69f1bebcd65,9/9/15,46,F,Austin,Mobile,1
4e794f9957f84,9/20/15,42,F,Tampa,Mobile,1
4e7a202537b55,9/21/15,53,F,Tampa,Mobile,1
4e7ba180f1a51,9/22/15,23,F,Houston,Mobile,1
4e812357d66c3,9/26/15,19,F,Detroit,Mobile,1
4e81fb5f749e3,9/27/15,35,F,Birmingham,Mobile,1
4e8a53a78cc08,10/3/15,30,F,Tampa,Mobile,1
4e96621a98060,10/12/15,47,F,Houston,Tablet,1
4e97104767c85,10/13/15,42,F,Austin,Mobile,1
4e97a4b5caed1,10/13/15,50,F,Tampa,Mobile,1
4e9a11f238065,11/2/15,32,F,Tampa,Mobile,1
4e9db901cddd3,10/18/15,22,F,Houston,Mobile,1
4ea95ca93a5e9,10/27/15,37,F,Houston,Tablet,1
4ea9b90293dd8,10/27/15,26,F,Houston,Mobile,1
4eaab6781b2db,10/28/15,25,F,Houston,Tablet,1
4eac151468326,11/1/15,52,F,Austin,Tablet,1
4eae91e25757d,11/1/15,34,F,Houston,Tablet,1
4eb0dd31cdb2f,11/1/15,40,F,Birmingham,Mobile,1
4eb126e841245,11/2/15,39,F,Houston,Mobile,1
4eb21a71863b3,11/2/15,19,F,Birmingham,Mobile,1
4eb2eb12c95e3,11/3/15,21,F,Austin,Mobile,1
4eb339b4c5424,11/3/15,29,F,Birmingham,Mobile,1
4eb9ecf8efca2,11/8/15,29,F,Detroit,Mobile,1
4ec17af8a4b6a,11/14/15,53,F,Nashville,Mobile,1
4ec5493f7aca4,11/17/15,32,F,Birmingham,Mobile,1
4ed2893798eb8,11/27/15,52,F,Austin,Mobile,1
4ed8e311d24d5,12/2/15,29,F,Houston,Mobile,1
4eecb2bb3b72c,12/17/15,45,F,Detroit,Tablet,1
4eef423e165ec,12/19/15,47,F,Birmingham,Tablet,1
4ef7b4bf58f95,12/26/15,50,M,Austin,Mobile,1
4efa171ac6898,12/27/15,29,F,Birmingham,Tablet,1
4efa4cfe3956a,12/27/15,33,F,Houston,Mobile,1
4efccb9a28467,12/29/15,45,F,Detroit,Mobile,1
4f05f49e6a588,1/5/16,44,F,Detroit,Tablet,1
4f05fc42599c7,1/5/16,46,M,Tampa,Mobile,1
4f07539176958,1/6/16,33,F,Tampa,Tablet,1
4f0780b360b91,1/6/16,39,F,Birmingham,Tablet,1
4f0b6496addfe,1/9/16,28,F,Tampa,Mobile,1
4f0bd18e55134,1/9/16,46,F,Tampa,Mobile,1
4f10ce90364d0,1/13/16,30,F,Tampa,Mobile,1
4f14781697fe4,1/16/16,22,M,Houston,Mobile,1
4f14c10ec50a7,1/16/16,31,F,Birmingham,Tablet,1
4f164258b1bb6,1/17/16,21,F,Houston,Tablet,1
4f1846a730a25,1/19/16,21,F,Houston,Tablet,1
4f18b6615a703,1/19/16,32,M,Tampa,Mobile,1
4f1e55553d7de,1/23/16,28,F,Austin,Mobile,1
4f2093259bbd6,1/25/16,29,M,Detroit,Mobile,1
4f23182154d52,1/27/16,40,F,Austin,Mobile,1
4f242c4752b99,2/1/16,49,F,Tampa,Mobile,1
4f2764d0cf434,1/30/16,29,M,Tampa,Mobile,1
4f2d9e64779d0,2/4/16,31,M,Birmingham,Mobile,1
4f2efb8f639ff,2/5/16,35,F,Houston,Tablet,1
4f32cd83638db,2/8/16,18,F,Houston,Mobile,1
4f36053fc68b3,2/10/16,52,F,Birmingham,Tablet,1
4f39e32eea4d7,2/13/16,35,F,Houston,Tablet,1
4f3d9a46a8bfd,2/16/16,22,F,Detroit,Tablet,1
4f43c9093d832,2/21/16,24,F,Tampa,Mobile,1
4f43d3ae21f85,2/21/16,49,F,Houston,Tablet,1
4f4679ef62352,2/23/16,45,F,Nashville,Mobile,1
4f4a53d5af035,2/26/16,34,F,Tampa,Mobile,1
4f4d7474bfc32,2/28/16,48,F,Nashville,Desktop,1
4f56dd35509e7,3/6/16,35,F,Detroit,Mobile,1
4f57969aaeb8c,3/7/16,37,F,Tampa,Mobile,1
4f58c73e6d91b,3/8/16,41,F,Austin,Mobile,1
4f5995d4f26b6,3/8/16,50,F,Detroit,Tablet,1
4f5d0dd6a39c4,3/11/16,54,F,Houston,Mobile,1
4f626e2a28b2c,3/15/16,32,F,Houston,Mobile,1
4f661940111b4,3/18/16,22,F,Houston,Tablet,1
4f66737ea0a55,3/18/16,20,F,Houston,Tablet,1
4f6a9ee5c553c,3/21/16,32,F,Tampa,Mobile,1
4f6b9274864d7,3/22/16,30,F,Birmingham,Mobile,1
4f6b9e7d8ea3e,3/22/16,44,F,Austin,Tablet,1
4f6f548048d7d,3/25/16,30,F,Houston,Mobile,1
4f6fb89399f8a,3/25/16,30,F,Birmingham,Tablet,1
4f70bc0c20e2a,3/26/16,23,M,Detroit,Tablet,1
4f71b84ece5bf,3/27/16,37,F,Houston,Mobile,1
4f764c74b3e76,3/30/16,47,F,Tampa,Mobile,1
4f768f1c3eec5,3/30/16,39,F,Austin,Tablet,1
4e382ac9dd10a,8/2/15,27,F,Tampa,Mobile,1
4e40221b84a45,8/8/15,36,F,Detroit,Mobile,1
4e468d7e16236,8/13/15,38,M,Nashville,Desktop,1
4e489c228a57a,8/14/15,22,F,Austin,Tablet,1
4e4e950f4ed32,8/19/15,27,F,Austin,Tablet,1
4e56adec17bfa,8/25/15,61,F,Birmingham,Mobile,1
4e56b7abb4caa,8/25/15,19,M,Houston,Mobile,1
4e5b97957f8b7,8/29/15,45,F,Nashville,Desktop,1
4e5bfcc71513a,8/29/15,21,F,Houston,Tablet,1
4e5c1268249ca,8/29/15,28,F,Birmingham,Mobile,1
4e5ee577495bf,8/31/15,21,F,Birmingham,Mobile,1
4e61ac9e9120b,9/2/15,54,F,Austin,Mobile,1
4e64b4798541e,9/5/15,31,F,Birmingham,Tablet,1
4e65774a0ac34,9/5/15,33,F,Austin,Mobile,1
4e66a6fb50ac0,9/6/15,32,M,Austin,Mobile,1
4e6c3f6124816,9/10/15,37,F,Detroit,Tablet,1
4e714bc224f99,9/14/15,24,F,Houston,Tablet,1
4e78a37396707,9/20/15,19,M,Austin,Tablet,1
4e7d31818305d,9/23/15,29,F,Houston,Mobile,1
4e7f7156c87b1,9/25/15,29,F,Detroit,Mobile,1
4e88e759b06be,10/2/15,25,F,Nashville,Desktop,1
4e99242b64b9b,10/14/15,47,F,Austin,Tablet,1
4e9e0d00d6413,10/18/15,42,F,Houston,Tablet,1
4ea5932295d3a,10/24/15,22,F,Birmingham,Mobile,1
4ea99e721aae2,10/27/15,22,F,Birmingham,Mobile,1
4eb062a9b522b,11/1/15,28,F,Birmingham,Mobile,1
4eb08dd28e32e,11/1/15,30,M,Birmingham,Mobile,1
4eb1503a2075d,11/2/15,42,F,Birmingham,Mobile,1
4eb30ea1e8ac7,11/3/15,22,F,Birmingham,Mobile,1
4eb83aaa04c84,11/7/15,26,F,Birmingham,Mobile,1
4ebb20ebbc592,11/9/15,38,F,Nashville,Desktop,1
4ebb38e84feba,11/20/15,28,F,Birmingham,Mobile,1
4ebcd9fc9c6e8,11/11/15,47,F,Birmingham,Tablet,1
4ebede91984e8,11/12/15,33,F,Nashville,Desktop,1
4ec518e32e075,11/17/15,32,F,Tampa,Mobile,1
4ec57f0864537,11/17/15,23,F,Houston,Tablet,1
4ec7bb0fc79ba,11/19/15,20,F,Detroit,Mobile,1
4ec95f1f569d1,11/20/15,32,F,Birmingham,Mobile,1
4ed3c5f039c92,11/28/15,35,F,Birmingham,Mobile,1
4ed85d8771ea1,12/1/15,18,F,Birmingham,Mobile,1
4ed9c4c239116,12/2/15,30,F,Austin,Mobile,1
4ee3ca7bc0884,12/10/15,38,F,Houston,Tablet,1
4ee3d6050c1a3,12/10/15,53,F,Tampa,Mobile,1
4ee65756c2d3f,12/12/15,30,F,Birmingham,Mobile,1
4eee5a0e89683,1/2/16,36,F,Nashville,Desktop,1
4ef3d90d00813,12/22/15,33,F,Austin,Tablet,1
4ef92f8aad046,12/26/15,25,F,Birmingham,Tablet,1
4efe8b248b475,12/30/15,30,F,Detroit,Tablet,1
4f047deb6c6f8,1/4/16,39,F,Charlotte,Desktop,1
4f08bfbaebaa0,1/7/16,22,F,Austin,Mobile,1
4f0a0a42016a5,1/8/16,21,F,Birmingham,Mobile,1
4f0b25ff6050a,1/9/16,47,F,Nashville,Mobile,1
4f0cfaae08b0e,1/10/16,41,F,Birmingham,Tablet,1
4f0d2016ec2c6,1/10/16,30,F,Tampa,Mobile,1
4f0dca077ae32,3/22/16,35,F,Birmingham,Tablet,1
4f0de18bcc3c5,1/11/16,25,F,Detroit,Mobile,1
4f0f38cddc8fb,1/12/16,41,F,Austin,Mobile,1
4f10cf3c8bf03,1/13/16,36,F,Birmingham,Tablet,1
4f132b97cd0b4,1/15/16,31,F,Birmingham,Mobile,1
4f144d73111d1,1/16/16,39,M,Detroit,Tablet,1
4f14c4643551e,1/16/16,30,F,Nashville,Desktop,1
4f14c5ee6b300,1/16/16,30,F,Detroit,Tablet,1
4f16d2db68565,1/18/16,38,F,Austin,Mobile,1
4f16db5b07706,1/18/16,30,F,Birmingham,Mobile,1
4f17b6b6e5930,1/18/16,44,F,Nashville,Tablet,1
4f199a984e2e3,1/20/16,36,F,Birmingham,Mobile,1
4f1c69761985c,1/22/16,25,F,Houston,Mobile,1
4f1d1251890c0,1/23/16,46,F,Birmingham,Tablet,1
4f1da7f59d5fb,1/23/16,41,F,Houston,Tablet,1
4f1edfc15db11,1/24/16,40,M,Houston,Mobile,1
4f1ef285e4b6d,1/24/16,46,F,Birmingham,Tablet,1
4f1f4912c941c,1/24/16,42,F,Houston,Mobile,1
4f20bf4f6def8,1/25/16,21,F,Birmingham,Mobile,1
4f28f64360173,2/1/16,33,F,Birmingham,Tablet,1
4f29f64dd830b,2/1/16,40,F,Charlotte,Desktop,1
4f2b2ef30dc08,2/2/16,42,M,Detroit,Tablet,1
4f2b4f5253479,2/2/16,45,F,Birmingham,Tablet,1
4f2c075597a1f,2/3/16,46,F,Tampa,Mobile,1
4f2ea9c0d1d6c,2/5/16,37,F,Birmingham,Mobile,1
4f2f5279ed885,2/5/16,20,F,Houston,Tablet,1
4f31e4d37eff1,2/7/16,60,F,Birmingham,Mobile,1
4f3354f185841,2/8/16,27,F,Tampa,Mobile,1
4f3be1691fbfc,2/15/16,34,M,Birmingham,Mobile,1
4f43dbbbd8adc,2/21/16,32,F,Tampa,Mobile,1
4f470a87f21c3,2/23/16,27,M,Detroit,Mobile,1
4f4b000a04dfd,2/26/16,26,F,Detroit,Mobile,1
4f4d1a03e7491,2/28/16,40,F,Tampa,Mobile,1
4f4fe5b93a26f,3/1/16,32,F,Austin,Mobile,1
4f577e4b047a8,3/7/16,42,F,Charlotte,Desktop,1
4f5fccba205e8,3/13/16,44,F,Nashville,Desktop,1
4f602089a0cf2,3/13/16,41,F,Birmingham,Mobile,1
4f61e3ceddb78,3/15/16,19,F,Houston,Mobile,1
4f66a2447724d,3/18/16,22,F,Birmingham,Mobile,1
4f6b3cece4d66,3/22/16,20,F,Birmingham,Mobile,1
4f6e05a717eb9,3/24/16,22,F,Houston,Mobile,1
4f6f0af08a638,3/25/16,61,F,Austin,Mobile,1
4f731de020e26,3/28/16,38,F,Austin,Mobile,1
4e4739fd65840,8/13/15,22,F,Birmingham,Mobile,1
4e4a8745064ef,8/16/15,29,F,Birmingham,Tablet,1
4e5264f1da216,8/22/15,34,F,Nashville,Mobile,1
4e539e63af255,8/23/15,27,M,Houston,Tablet,1
4e556c3200e6b,8/24/15,34,F,Tampa,Mobile,1
4e56350f51352,8/25/15,30,F,Birmingham,Mobile,1
4e581c2b54440,8/26/15,28,F,Birmingham,Mobile,1
4e5c4188a706e,8/29/15,50,F,Tampa,Mobile,1
4e5c5ae5209e6,8/29/15,22,F,Houston,Tablet,1
4e5f755500c44,9/1/15,53,F,Houston,Mobile,1
4e652432de349,9/5/15,29,M,Houston,Mobile,1
4e68060706d31,9/7/15,26,F,Nashville,Desktop,1
4e693dc4e2124,9/8/15,24,F,Birmingham,Mobile,1
4e73895e29921,9/16/15,41,F,Nashville,Mobile,1
4e754a11de5fd,9/17/15,28,F,Austin,Mobile,1
4e7a917c19da9,9/21/15,22,F,Houston,Mobile,1
4e7b85a084ae3,9/22/15,45,F,Tampa,Mobile,1
4e809307915fa,9/26/15,24,F,Detroit,Tablet,1
4e84cf20cd86c,9/29/15,42,F,Tampa,Mobile,1
4e85c32c0a680,9/30/15,32,F,Detroit,Tablet,1
4e85d31fe7a0c,9/30/15,21,F,Tampa,Mobile,1
4e861efbd4933,9/30/15,29,F,Houston,Tablet,1
4e89631ebf8e3,10/3/15,49,F,Austin,Mobile,1
4e8f76ea4e3be,10/7/15,55,F,Detroit,Tablet,1
4e910764ede36,10/8/15,23,F,Detroit,Mobile,1
4e94dedf803ce,10/11/15,41,M,Houston,Mobile,1
4ea6ff533eafd,10/25/15,29,M,Nashville,Desktop,1
4ea80891901d0,3/2/16,57,M,Austin,Mobile,1
4ea8289025665,10/26/15,29,F,Houston,Mobile,1
4ea828f2b86ea,10/26/15,36,F,Austin,Mobile,1
4ea9cca5b5deb,10/27/15,42,F,Austin,Mobile,1
4eb1985921178,11/2/15,39,F,Tampa,Mobile,1
4ebb2c02b1ed1,11/9/15,35,F,Houston,Tablet,1
4ec144b4479a6,11/14/15,24,F,Houston,Tablet,1
4ec292527fbc1,11/15/15,24,F,Birmingham,Mobile,1
4ec5176675d46,11/17/15,42,F,Birmingham,Tablet,1
4ecda8456012e,11/23/15,21,F,Houston,Mobile,1
4ed0393b77ba4,11/25/15,27,F,Detroit,Tablet,1
4ed403c99eb97,11/28/15,69,F,Austin,Mobile,1
4ed6f2b215df7,11/30/15,53,F,Nashville,Desktop,1
4ed7af61c339f,12/1/15,30,F,Houston,Tablet,1
4ee014eca3c78,12/7/15,34,F,Houston,Mobile,1
4ee1868223339,12/8/15,24,F,Birmingham,Tablet,1
4ee7add63a05b,12/13/15,56,M,Detroit,Tablet,1
4eea28f2b5682,12/15/15,25,F,Detroit,Mobile,1
4eeaafcea6572,3/19/16,51,F,Houston,Tablet,1
4ef02848ef802,12/19/15,31,F,Nashville,Mobile,1
4ef96a55d0226,12/26/15,18,F,Detroit,Tablet,1
4efa40e05187b,12/27/15,47,F,Detroit,Mobile,1
4efa78f9d0f25,12/27/15,53,F,Tampa,Mobile,1
4efc978189979,12/29/15,18,F,Detroit,Mobile,1
4efdf967c8017,12/30/15,23,F,Birmingham,Tablet,1
4f05e00cd9c8d,1/5/16,58,F,Birmingham,Mobile,1
4f0698429c284,1/5/16,29,F,Austin,Mobile,1
4f077b7a12b28,1/6/16,48,F,Tampa,Mobile,1
4f0894f35f037,1/7/16,21,F,Birmingham,Tablet,1
4f0a6511546f4,1/8/16,43,F,Houston,Tablet,1
4f0f0a7a11985,1/12/16,23,F,Birmingham,Tablet,1
4f0f3da12386a,1/12/16,35,F,Houston,Tablet,1
4f0f76c1340d0,1/12/16,37,M,Houston,Mobile,1
4f119ed5c6a0d,1/14/16,21,F,Houston,Tablet,1
4f13148d1c29c,1/15/16,46,F,Birmingham,Mobile,1
4f1775bbac59b,1/18/16,27,F,Tampa,Mobile,1
4f178129997e9,1/18/16,51,M,Birmingham,Mobile,1
4f1829d49621c,1/19/16,60,F,Tampa,Mobile,1
4f1a3e605204b,1/20/16,20,F,Houston,Tablet,1
4f1a604bdfd0f,1/20/16,21,F,Detroit,Tablet,1
4f1ee7b1c0d48,1/24/16,29,F,Houston,Mobile,1
4f20f80b77fbe,1/25/16,39,F,Birmingham,Tablet,1
4f21fc8bef109,1/26/16,32,F,Nashville,Desktop,1
4f28429773cd3,2/1/16,32,F,Birmingham,Tablet,1
4f285a708e2a8,2/1/16,24,F,Houston,Tablet,1
4f2ad680c029e,2/8/16,33,F,Birmingham,Tablet,1
4f2ca34a99979,2/3/16,27,F,Houston,Mobile,1
4f2d3cdf04f3e,2/4/16,31,F,Birmingham,Mobile,1
4f319515396e8,2/7/16,19,F,Houston,Tablet,1
4f33a36946501,2/9/16,35,F,Birmingham,Tablet,1
4f33e6c9d3279,2/9/16,32,F,Houston,Mobile,1
4f37d0041150e,2/12/16,31,F,Austin,Mobile,1
4f3ab2a97f39d,2/14/16,44,F,Houston,Tablet,1
4f3c10349e155,2/15/16,25,F,Birmingham,Mobile,1
4f3c7406d1712,2/15/16,29,F,Birmingham,Mobile,1
4f4465d0a1d6c,2/21/16,32,F,Birmingham,Mobile,1
4f4647c81cf42,2/23/16,25,F,Detroit,Mobile,1
4f4aa9df256d5,2/26/16,38,F,Austin,Mobile,1
4f4bd7673a6ae,2/27/16,48,F,Austin,Mobile,1
4f4be70be27f9,2/27/16,35,M,Austin,Mobile,1
4f4cd1d601918,2/28/16,40,F,Tampa,Tablet,1
4f4ee215e3ef3,2/29/16,25,F,Birmingham,Mobile,1
4f4ff4c7b2242,3/1/16,37,F,Birmingham,Tablet,1
4f511ea094b74,3/2/16,47,F,Tampa,Mobile,1
4f515d822b430,3/2/16,26,F,Detroit,Mobile,1
4f60eda66a324,3/14/16,34,F,Houston,Mobile,1
4f6211826c4c3,3/15/16,22,F,Houston,Tablet,1
4f689a32c3c6a,3/20/16,29,F,Austin,Mobile,1
4f69f30c2f5c4,3/21/16,21,F,Birmingham,Mobile,1
4f6bfe1ed1c8d,3/22/16,20,F,Detroit,Mobile,1
4f6cdce583c77,3/23/16,23,F,Houston,Tablet,1
4f721a762aca6,3/27/16,29,F,Tampa,Mobile,1
4f724460c5309,3/27/16,22,F,Houston,Mobile,1
4f732038e6f04,3/28/16,51,F,Tampa,Mobile,1
4f734b98dcfad,3/28/16,24,F,Detroit,Tablet,1
4f775438ed668,3/31/16,35,F,Birmingham,Mobile,1
4f77d1b979097,3/31/16,24,F,Nashville,Desktop,1
4e3bf9af6caf7,8/5/15,36,F,Tampa,Mobile,1
4e417e89bc090,8/9/15,30,F,Detroit,Mobile,1
4e490e3b33229,8/15/15,22,F,Houston,Mobile,1
4e52b6a3d0620,8/22/15,69,F,Birmingham,Tablet,1
4e54dec7f22ae,8/24/15,34,F,Tampa,Mobile,1
4e56db496101e,8/25/15,61,F,Tampa,Mobile,1
4e56fd41ea041,8/25/15,22,F,Houston,Mobile,1
4e57293f5fced,8/25/15,59,F,Nashville,Desktop,1
4e582a9aa7958,8/26/15,56,F,Charlotte,Desktop,1
4e5b26230ff36,8/28/15,43,F,Nashville,Desktop,1
4e5cdd613ba4b,8/30/15,28,F,Houston,Tablet,1
4e6e5d5a990ca,9/12/15,40,M,Birmingham,Mobile,1
4e7110b8c3750,9/14/15,25,F,Detroit,Tablet,1
4e76635484437,9/18/15,22,F,Birmingham,Tablet,1
4e77956a1b0b1,9/19/15,26,M,Austin,Tablet,1
4e7f285c64adf,9/25/15,24,F,Birmingham,Tablet,1
4e8730a86a162,10/1/15,27,F,Tampa,Mobile,1
4e8f214910097,10/7/15,39,F,Birmingham,Tablet,1
4e90fa85764e2,10/8/15,37,F,Detroit,Mobile,1
4e9a4dec9e16f,10/15/15,40,M,Houston,Tablet,1
4ea173a2ed5e6,10/21/15,32,F,Houston,Mobile,1
4ea833ed1570f,10/26/15,32,M,Detroit,Mobile,1
4ea8920ad505b,10/26/15,21,F,Houston,Tablet,1
4eacc677c4401,11/1/15,34,F,Austin,Mobile,1
4eb05901f15f1,11/1/15,51,F,Austin,Tablet,1
4eb0a2608aaf9,11/1/15,34,M,Tampa,Mobile,1
4eb1480c9acbe,11/2/15,32,F,Austin,Tablet,1
4eb1e03d6d07f,11/2/15,52,F,Birmingham,Mobile,1
4eb22f54ca6df,11/2/15,28,F,Tampa,Mobile,1
4eb347594e5bd,11/3/15,34,F,Tampa,Mobile,1
4eb815f82bae7,11/7/15,20,F,Houston,Tablet,1
4eb83172a6388,11/7/15,49,F,Tampa,Mobile,1
4ec1583237eeb,11/14/15,29,F,Tampa,Mobile,1
4ec2bd722219b,11/15/15,34,F,Austin,Mobile,1
4ec5afaf56ae1,11/17/15,41,F,Birmingham,Tablet,1
4ec933c519454,11/20/15,61,F,Nashville,Desktop,1
4ecd21942b478,11/23/15,27,F,Birmingham,Mobile,1
4ecfce2897a21,11/25/15,36,F,Houston,Tablet,1
4ed0fd2d64372,11/26/15,42,M,Houston,Tablet,1
4ed2b657ef690,11/27/15,28,F,Detroit,Mobile,1
4ed4e3062fcd6,11/29/15,29,F,Birmingham,Mobile,1
4ed4ff596ba1c,11/29/15,47,F,Tampa,Mobile,1
4ed6a4871a09f,11/30/15,31,F,Houston,Tablet,1
4edd6431f39b7,12/5/15,37,F,Tampa,Mobile,1
4edea9b9558b7,12/6/15,25,F,Birmingham,Mobile,1
4edebd386a334,12/6/15,51,M,Birmingham,Mobile,1
4ee0d48d98ecd,12/8/15,37,F,Austin,Mobile,1
4ee4e79ea6111,12/11/15,45,F,Austin,Tablet,1
4ee9f4d394fa1,12/15/15,39,F,Detroit,Tablet,1
4ef5276272960,12/23/15,27,M,Tampa,Mobile,1
4efdfd9d71b1a,12/30/15,23,F,Austin,Mobile,1
4eff6b071a581,1/3/16,38,F,Birmingham,Mobile,1
4f03e74453dcc,1/3/16,33,F,Tampa,Mobile,1
4f05c7efa0e9c,1/5/16,40,F,Tampa,Mobile,1
4f08f8cd683e3,1/7/16,27,F,Houston,Mobile,1
4f0a8dba4eb32,1/8/16,41,F,Tampa,Mobile,1
4f0b409b4fbec,1/9/16,28,F,Houston,Tablet,1
4f0f0d76674f1,1/12/16,38,F,Birmingham,Mobile,1
4f10cec73147c,1/13/16,43,F,Birmingham,Mobile,1
4f133be56310b,1/15/16,35,F,Birmingham,Mobile,1
4f13bef43c569,1/15/16,20,F,Birmingham,Mobile,1
4f149d361c516,1/16/16,44,F,Houston,Tablet,1
4f14c03b03dd3,2/7/16,41,F,Austin,Mobile,1
4f18c57acfaf9,1/19/16,25,F,Birmingham,Tablet,1
4f192a692b8f5,1/20/16,28,M,Birmingham,Mobile,1
4f1cf50678cfb,1/22/16,18,F,Birmingham,Tablet,1
4f216b0d7bf88,1/26/16,20,F,Birmingham,Tablet,1
4f2afb1dd4da8,2/2/16,20,M,Houston,Tablet,1
4f2b3fa384669,2/2/16,32,F,Nashville,Mobile,1
4f2ba48236551,2/3/16,40,M,Tampa,Mobile,1
4f2bc4ccc86d5,2/3/16,25,F,Birmingham,Tablet,1
4f2c777774bcb,2/3/16,30,F,Tampa,Tablet,1
4f2eaf3758b09,2/5/16,25,F,Birmingham,Tablet,1
4f312a4768820,2/7/16,28,F,Tampa,Mobile,1
4f351d8c3a710,2/10/16,22,F,Austin,Mobile,1
4f383b4a819e0,2/12/16,21,F,Houston,Mobile,1
4f3c5025a9faa,2/15/16,38,F,Austin,Mobile,1
4f3cfd0d9a3d6,2/16/16,44,F,Birmingham,Mobile,1
4f42bb6deb25d,2/29/16,46,F,Austin,Mobile,1
4f453fe0572a9,2/22/16,20,F,Birmingham,Tablet,1
4f469d2f0d8dd,2/23/16,34,F,Austin,Mobile,1
4f49193662015,2/25/16,39,F,Birmingham,Mobile,1
4f4ed0edbce32,2/29/16,55,F,Nashville,Mobile,1
4f55189b08a43,3/5/16,50,F,Birmingham,Tablet,1
4f5a19ed266dc,3/9/16,35,F,Nashville,Desktop,1
4f5e58300e6d4,3/12/16,52,F,Detroit,Tablet,1
4f5fae8f96936,3/13/16,28,F,Birmingham,Mobile,1
4f639e404d293,3/16/16,20,F,Austin,Mobile,1
4f691caabeb80,3/20/16,38,F,Houston,Tablet,1
4f694dcabde47,3/20/16,39,F,Birmingham,Tablet,1
4f6a2cfb4335b,3/21/16,30,F,Detroit,Tablet,1
4f6bff3103535,3/22/16,21,F,Houston,Mobile,1
4f710df611e1b,3/26/16,24,F,Birmingham,Mobile,1
4f7233b03afbc,3/27/16,22,F,Tampa,Mobile,1
