date,source_id,cost
10/17/14,PA0577,7168
8/17/14,PA0354,7615
1/7/14,PA0607,4054
8/25/14,PA0745,9317
11/30/14,PA0923,5586
12/22/14,PA0808,8049
12/17/14,PA0952,6662
5/22/14,PA0411,4795
7/7/14,PA0526,2691
10/14/14,PA0168,9651
2/13/14,PA0354,2752
11/23/14,PA0526,3121
11/23/14,PA0277,5691
11/27/14,PA0057,7423
3/2/14,PA0482,6401
11/18/14,PA0368,3174
3/29/14,PA0552,7894
5/6/14,PA0696,6595
8/31/14,PA0258,6305
5/8/14,PA0338,7561
4/3/14,PA0619,4288
3/19/14,PA0619,2656
8/21/14,PA0552,4653
10/15/14,PA0270,6147
12/15/14,PA0474,1555
12/19/14,PA0258,8300
7/20/14,PA0958,1447
4/28/14,PA0308,3958
7/14/14,PA0168,5496
11/13/14,PA0830,5474
4/25/14,PA0752,3043
11/30/14,PA0859,9934
9/1/14,PA0923,9243
10/18/14,PA0752,1141
3/31/14,PA0174,1687
11/12/14,PA0808,4483
3/10/14,PA0792,5460
5/20/14,PA0577,9377
4/3/14,PA0258,8057
10/7/14,PA0270,7632
12/23/14,PA0732,9032
4/26/14,PA0318,9037
12/2/14,PA0293,5623
9/18/14,PA0354,5777
10/19/14,PA0277,3052
4/5/14,PA0198,5659
1/16/14,PA0202,8978
9/30/14,PA0732,3254
7/19/14,PA0368,8149
6/24/14,PA0843,5787
7/24/14,PA0873,6404
4/8/14,PA0411,6360
9/21/14,PA0973,7543
12/4/14,PA0318,841
4/18/14,PA0752,465
7/17/14,PA0368,8858
3/11/14,PA0482,7961
3/23/14,PA0808,3381
2/25/14,PA0394,4236
12/18/14,PA0751,1425
4/10/14,PA0354,707
9/9/14,PA0482,2871
7/17/14,PA0923,6689
8/5/14,PA0368,8027
7/18/14,PA0830,4160
12/20/14,PA0552,2092
12/25/14,PA0169,2196
9/20/14,PA0923,NA
5/15/14,PA0745,3466
7/10/14,PA0843,7286
4/16/14,PA0411,8160
8/21/14,PA0859,1235
12/21/14,PA0293,6410
1/13/14,PA0168,9042
4/25/14,PA0732,1018
10/26/14,PA0958,2849
8/13/14,PA0308,777
9/8/14,PA0352,2750
3/28/14,PA0126,4075
4/24/14,PA0696,7714
5/2/14,PA0308,6253
10/30/14,PA0672,6820
11/10/14,PA0577,2854
7/13/14,PA0745,6190
5/17/14,PA0672,4899
2/20/14,PA0751,7097
1/1/14,PA0958,7150
12/10/14,PA0352,3576
8/30/14,PA0277,923
6/26/14,PA0270,4525
9/8/14,PA0368,NA
10/16/14,PA0873,592
9/9/14,PA0526,2936
11/16/14,PA0672,4398
1/19/14,PA0394,9644
7/23/14,PA0672,1322
4/11/14,PA0900,9467
8/13/14,PA0859,160
5/29/14,PA0619,8286
7/24/14,PA0293,7191
4/15/14,PA0952,2508
6/17/14,PA0527,8950
8/2/14,PA0696,1020
5/10/14,PA0474,3190
11/16/14,PA0168,303
8/18/14,PA0859,6963
10/9/14,PA0534,3171
4/8/14,PA0258,3845
1/29/14,PA0534,1261
4/6/14,PA0619,90
4/25/14,PA0527,488
11/13/14,PA0168,6424
6/24/14,PA0293,485
11/19/14,PA0859,1881
7/8/14,PA0198,8925
10/30/14,PA0552,4432
4/19/14,PA0843,7004
10/5/14,PA0745,8593
9/2/14,PA0368,6526
10/13/14,PA0308,512
12/3/14,PA0619,3759
6/1/14,PA0258,9508
5/4/14,PA0752,7228
3/19/14,PA0751,1482
1/14/14,PA0843,2675
2/7/14,PA0470,4448
8/28/14,PA0527,1853
4/20/14,PA0202,7012
1/29/14,PA0526,1443
9/1/14,PA0198,1591
11/18/14,PA0126,8258
7/29/14,PA0923,9785
8/5/14,PA0543,6577
8/28/14,PA0202,79
10/31/14,PA0467,2800
5/23/14,PA0057,1970
8/3/14,PA0752,3023
1/31/14,PA0952,350
6/20/14,PA0751,329
7/13/14,PA0751,7222
5/7/14,PA0752,6867
8/2/14,PA0745,3552
11/19/14,PA0808,5907
3/26/14,PA0270,420
2/15/14,PA0808,6383
10/6/14,PA0534,5679
8/8/14,PA0526,6867
6/12/14,PA0732,5716
8/18/14,PA0843,5920
4/23/14,PA0308,6513
8/31/14,PA0973,3400
8/14/14,PA0607,3345
2/13/14,PA0293,8242
8/21/14,PA0470,2348
4/14/14,PA0174,2211
10/11/14,PA0958,244
7/18/14,PA0526,8272
7/1/14,PA0527,1444
12/14/14,PA0270,2693
8/13/14,PA0552,9841
8/8/14,PA0474,2322
7/17/14,PA0169,5140
2/5/14,PA0482,5189
7/4/14,PA0973,5525
10/16/14,PA0467,1105
4/2/14,PA0958,6259
9/24/14,PA0270,5328
11/12/14,PA0923,2385
8/11/14,PA0270,6358
6/17/14,PA0973,8505
6/16/14,PA0354,694
