"userid","data_to_parse"
"54f3ad9a29ada","""value"":""N;U;A7;W""}]"
"54f69f2de6aec","""value"":""N;U;I6;W""}]"
"54f650f004474","""value"":""Y;U;A7;W""}]"
"54f52e8872227","""value"":""N;U;I1;W""}]"
"54f64d3075b72","""value"":""Y;U;A7;W""}]"
"54f69dc01793f","""value"":""N;U;A1;W""}]"
"54f5d26833ce6","""value"":""N;U;A1;W""}]"
"54f52b1a7e647","""value"":""N;U;A4;W""}]"
"54f4ae7da8d01","""value"":""N;U;A1;W""}]"
"54f6290ca187d","""value"":""N;U;U;W""}]"
"54f4740d684aa","""value"":""N;U;A7;W""}]"
"54f600108ec82","""value"":""N;U;I1;W""}]"
"54f527b7537d5","""value"":""N;C;U;L""}]"
"54f2d1581522c","""value"":""N;U;A7;W""}]"
"54f364ed2670d","""value"":""N;U;I4;W""}]"
"54f5136f6ff21","""value"":""Y;U;A7;W""}]"
"54f63ff6cb0e9","""value"":""N;C;A1;L""}]"
"54f45ca0f0d15","""value"":""N;C;I4;L""}]"
"54f4c701e310c","""value"":""N;U;A7;W""}]"
"54f42bac0ec44","""value"":""N;U;A7;W""}]"
"54f3d494b0560","""value"":""N;C;A1;L""}]"
"54f6a429acd7f","""value"":""N;U;I3;W""}]"
"54f6046cb035e","""value"":""Y;U;A2;W""}]"
"54f5d25fd2c2f","""value"":""N;U;I4;W""}]"
"54f3f7e8ae757","""value"":""N;U;A7;W""}]"
"54f2ce8537a48","""value"":""Y;U;A1;W""}]"
"54f4ae68298a1","""value"":""N;U;A1;W""}]"
"54f433b605c3c","""value"":""N;U;A7;W""}]"
"54f63f695466a","""value"":""N;U;I1;W""}]"
"54f51032c7154","""value"":""N;U;A7;L""}]"
"54f3bed816743","""value"":""N;U;A7;W""}]"
"54f6a37937900","""value"":""N;U;I1;W""}]"
"54f5ee0fe025f","""value"":""N;U;I2;W""}]"
"54f657ae1b7ce","""value"":""N;U;A7;W""}]"
"54f4ebaf7763a","""value"":""N;U;A3;W""}]"
"54f52788859ee","""value"":""N;U;A2;W""}]"
"54f4b540f056b","""value"":""Y;U;A1;W""}]"
"54f4f497957db","""value"":""N;C;I2;L""}]"
"54f3a0bfc0b53","""value"":""N;U;A7;W""}]"
"54f54b172a04d","""value"":""N;B;A7;W""}]"
"54f68d9865a3a","""value"":""N;U;U;W""}]"
"54f60b9a0445d","""value"":""N;C;I1;L""}]"
"54f3b1e16aa04","""value"":""N;U;A1;W""}]"
"54f4e35b1d9a2","""value"":""Y;U;A1;W""}]"
"54f3955834a3a","""value"":""N;U;I3;L""}]"
"54f3a489124a4","""value"":""N;U;A2;W""}]"
"54f6a076d835e","""value"":""N;U;A4;W""}]"
"54f456e2bd93d","""value"":""Y;U;A4;W""}]"
"54f32bd9394fd","""value"":""N;C;I4;L""}]"
"54f47bc5b39c5","""value"":""N;U;A1;W""}]"
"54f4840830689","""value"":""N;U;A7;W""}]"
"54f63677744e4","""value"":""N;U;U;W""}]"
"54f4f6d8c0dc8","""value"":""N;C;A7;L""}]"
"54f4bee7b972b","""value"":""N;C;A1;L""}]"
"54f68239f236d","""value"":""N;U;A6;W""}]"
"54f4115aa8d6e","""value"":""N;U;A7;W""}]"
"54f4ec1babd22","""value"":""N;U;A7;W""}]"
"54f3f0f95413e","""value"":""N;U;A5;W""}]"
"54f3b7559545c","""value"":""N;U;A7;W""}]"
"54f4ba6c5873c","""value"":""N;U;I5;W""}]"
"54f4f9abab13d","""value"":""N;U;U;W""}]"
"54f381948be4a","""value"":""N;U;I1;W""}]"
"54f3d8c56b267","""value"":""Y;U;A7;W""}]"
"54f4a5eaaa219","""value"":""N;U;A4;W""}]"
"54f52728d332d","""value"":""N;U;A1;W""}]"
"54f45bde93f4e","""value"":""N;U;I4;W""}]"
"54f3f1c8d0ac9","""value"":""N;U;A7;W""}]"
"54f3501962a09","""value"":""N;U;A7;W""}]"
"54f5d3f16aa23","""value"":""N;U;A5;W""}]"
"54f4c1cd16567","""value"":""N;U;I4;W""}]"
"54f3b10f8d828","""value"":""N;U;A7;W""}]"
"54f34b8d290d4","""value"":""Y;U;A7;W""}]"
"54f39dd9d94c9","""value"":""N;U;A7;W""}]"
"54e94265e430d","""value"":""N;C;I3;L""}]"
"54f4a19ea58ed","""value"":""N;U;I2;W""}]"
"54f3eb5418777","""value"":""N;U;A1;W""}]"
"54f4d69a1de0a","""value"":""N;C;I1;L""}]"
"54f4aafe72296","""value"":""N;U;A7;W""}]"
"54f697312cfa8","""value"":""N;C;A1;L""}]"
"54f66cea9d701","""value"":""N;U;I2;W""}]"
"54f6344658367","""value"":""N;U;A5;W""}]"
"54f34af0623ad","""value"":""N;U;I2;W""}]"
"54f4aca635d14","""value"":""N;U;I1;W""}]"
"54f5e7f3ce59a","""value"":""N;B;A7;L""}]"
"54f5efb2c3c04","""value"":""Y;U;A4;W""}]"
"54f469e2adbdb","""value"":""N;U;A3;W""}]"
"54f694e21008a","""value"":""N;U;A7;W""}]"
"54911d0549918","""value"":""N;U;A7;W""}]"
"54f51d159e92c","""value"":""N;U;A7;W""}]"
"54f4b4302e57a","""value"":""N;U;A5;W""}]"
"54f4a812d6440","""value"":""N;C;A7;L""}]"
"54f48dc316283","""value"":""N;U;A7;W""}]"
"54f15f2310769","""value"":""N;U;A4;W""}]"
"54f4717ea04fd","""value"":""N;U;A4;W""}]"
"54f67c82dbb7e","""value"":""N;U;A7;W""}]"
"54f6296f5db38","""value"":""N;C;A7;L""}]"
"54f5438f8cc1b","""value"":""N;U;A7;W""}]"
"54f3b26edb8bf","""value"":""N;C;I6;L""}]"
"54f2e080e3112","""value"":""Y;U;A7;W""}]"
"54f55452027df","""value"":""N;U;A7;W""}]"
"54f47d81003dc","""value"":""Y;U;A7;W""}]"
"54f47fedb6d22","""value"":""N;U;I3;L""}]"
"54f518f8706ab","""value"":""N;C;A7;L""}]"
"54f53ab393a1e","""value"":""N;U;A7;W""}]"
"54f48c61bd784","""value"":""Y;U;A1;W""}]"
"54f52398d8095","""value"":""N;U;A3;W""}]"
"54f49772e4958","""value"":""N;C;I4;L""}]"
"54f5ebbd781b0","""value"":""N;C;I1;L""}]"
"54f5da34bc800","""value"":""N;C;A7;L""}]"
"54f6226294677","""value"":""N;C;I4;L""}]"
"54f683481b96e","""value"":""N;U;A7;W""}]"
"54f37529e932a","""value"":""N;U;U;W""}]"
"54f510a48475c","""value"":""N;C;U;L""}]"
"54b73284287a5","""value"":""N;U;A7;W""}]"
"54f3727b6af8a","""value"":""N;U;I1;L""}]"
"54f3346133bd6","""value"":""N;U;A7;W""}]"
"54f5175607663","""value"":""Y;U;A7;W""}]"
"54f49c300b8e0","""value"":""N;C;I1;L""}]"
"54f4f1d51cf17","""value"":""N;U;A4;W""}]"
"54f4f594be766","""value"":""N;U;A2;L""}]"
"54f47feab7072","""value"":""N;U;I1;W""}]"
"54f30d4a7ee36","""value"":""N;U;A7;W""}]"
"54f5d220c9fcc","""value"":""N;C;A7;L""}]"
"54f332333d462","""value"":""N;U;I5;W""}]"
"54f34e6f780d3","""value"":""N;U;I4;W""}]"
"54f5af6c33499","""value"":""N;U;A7;W""}]"
"54f615963e53a","""value"":""N;U;A7;W""}]"
"54f3e67b39754","""value"":""N;U;I3;W""}]"
"54f5c62c262c7","""value"":""N;U;I1;L""}]"
"54f5bbdc8511d","""value"":""N;U;A7;W""}]"
"54f4b6d492d2d","""value"":""Y;U;A2;W""}]"
"54f3638e4bb0d","""value"":""N;U;A7;L""}]"
"54f339f3c92fa","""value"":""N;B;I1;L""}]"
"54f6245da6e23","""value"":""N;U;A7;W""}]"
"54f40be7dafdd","""value"":""N;U;I5;W""}]"
"54f3bb2e454ed","""value"":""N;U;I1;W""}]"
"54f3737ebc13b","""value"":""N;U;I4;W""}]"
"54f38fb8f1ded","""value"":""N;U;A7;W""}]"
"54f557345761d","""value"":""N;U;A5;W""}]"
"54f3f745a3848","""value"":""Y;U;A1;W""}]"
"54f66ba16a841","""value"":""N;C;A1;L""}]"
"54f6334fe0b08","""value"":""N;U;I2;W""}]"
"54f6abc2e2338","""value"":""N;U;I4;W""}]"
"54f5425f5bcfd","""value"":""N;U;A7;W""}]"
"54f4ff81bad47","""value"":""N;U;A7;W""}]"
"54f33e553bd62","""value"":""N;U;A7;W""}]"
"54f64e064a1a9","""value"":""N;U;A1;W""}]"
"54f5ea2771c5a","""value"":""N;C;A7;L""}]"
"54f4a683952fc","""value"":""N;U;A4;L""}]"
"54f681fa62aac","""value"":""N;U;A1;W""}]"
"54f5dacd6f0b0","""value"":""N;U;U;L""}]"
"54f430b8bd91c","""value"":""N;U;U;W""}]"
"54f68c69c0bfc","""value"":""N;C;I4;L""}]"
"54f52295e34e3","""value"":""N;U;A7;W""}]"
"54f4761b85e92","""value"":""N;U;I1;W""}]"
"54f682de5b66f","""value"":""N;C;A7;L""}]"
"54f35fa11ac7d","""value"":""N;C;A7;L""}]"
"54f3e04de9564","""value"":""N;U;A1;L""}]"
"54f49196e54e4","""value"":""N;U;A2;L""}]"
"54f60a625ed61","""value"":""N;U;A7;W""}]"
"54f4b71f930e3","""value"":""N;U;A7;W""}]"
"54f5256a6b51a","""value"":""N;C;A4;L""}]"
"54f3c44bb6958","""value"":""N;U;A7;W""}]"
"54f38cdd51e8a","""value"":""N;U;A7;W""}]"
"54f4e593a1d5d","""value"":""Y;U;A1;W""}]"
"54f34d6c1e2dc","""value"":""N;U;A7;W""}]"
"54f4bb3b54c66","""value"":""N;C;I5;W""}]"
"54f50b3b1d7f1","""value"":""N;C;A7;L""}]"
"54f51a3a20c56","""value"":""N;U;A3;W""}]"
"54f66af413e31","""value"":""N;U;A7;W""}]"
"54f35d8f839b1","""value"":""N;U;A7;W""}]"
"54f2e95c61b6b","""value"":""Y;U;A1;W""}]"
"54f3dcfd10da0","""value"":""N;U;A1;W""}]"
"54f54547cf0af","""value"":""N;U;A5;W""}]"
"54f4856aca40d","""value"":""Y;U;A3;W""}]"
"54f37f9228386","""value"":""N;U;A7;W""}]"
"54ea2eae00c58","""value"":""N;C;A1;L""}]"
"54f4a3284c20c","""value"":""N;C;I5;L""}]"
"54f34a06b14b6","""value"":""N;U;A5;W""}]"
"54f4a0774a03a","""value"":""N;U;A7;W""}]"
"54f63eb51f285","""value"":""N;U;A4;L""}]"
"54f527111562b","""value"":""N;U;A7;W""}]"
"54f5f741920df","""value"":""N;U;A7;W""}]"
"54f646d295888","""value"":""N;U;A7;W""}]"
"54f3d6749f83d","""value"":""N;U;A7;W""}]"
"54f540047b5a5","""value"":""N;C;A7;L""}]"
"54f4d5eca1ca2","""value"":""N;U;A2;W""}]"
"54f45ca307b2d","""value"":""N;U;A7;W""}]"
"54f523fe81b24","""value"":""N;B;I1;L""}]"
"54f54448426d2","""value"":""N;U;A7;W""}]"
"54f3998736686","""value"":""N;U;A3;W""}]"
"54f685af34fc2","""value"":""Y;U;A7;W""}]"
"54f67734709b9","""value"":""Y;U;A1;W""}]"
"54f65cfda05cd","""value"":""N;U;A7;W""}]"
"54f356c1312f4","""value"":""N;U;A7;L""}]"
"54f3782ece2c3","""value"":""N;U;A7;W""}]"
"54f680dbaef58","""value"":""N;U;A7;W""}]"
"54f5fa11df1bb","""value"":""N;U;A5;W""}]"
"54f341eb6b6a7","""value"":""Y;U;A7;W""}]"
"54f6169b2fbf2","""value"":""N;U;I2;W""}]"
"54f5441f5e1f1","""value"":""N;U;A7;W""}]"
"54f3af3353140","""value"":""N;U;I4;L""}]"
"54f4509a116d7","""value"":""N;U;A7;W""}]"
"54f4d9cf230fd","""value"":""N;U;A7;W""}]"
"54f5dfc71c275","""value"":""N;U;A7;W""}]"
"54f46a863d00b","""value"":""N;U;A7;W""}]"
"54f3e95f7a781","""value"":""N;U;A7;W""}]"
"54f3a4f599f63","""value"":""N;U;A5;W""}]"
"54f362e352d86","""value"":""N;U;I2;W""}]"
"54f677fd56709","""value"":""N;U;A3;W""}]"
"54f696c39c96d","""value"":""N;U;A7;W""}]"
"54f6207fc25e5","""value"":""N;C;A7;L""}]"
"54f4957bb26da","""value"":""Y;U;A1;W""}]"
"54f5e7057c9e2","""value"":""Y;U;A1;W""}]"
"54f67a076b19d","""value"":""Y;U;A1;W""}]"
"54f6947c6853a","""value"":""N;C;A1;L""}]"
"54f425cf44371","""value"":""N;C;A7;L""}]"
"54f4961c7fa83","""value"":""N;U;A7;L""}]"
"54f47db6dad6e","""value"":""N;U;A1;W""}]"
"54f4e86775870","""value"":""N;U;I2;W""}]"
"54f54211451bf","""value"":""N;U;A7;W""}]"
"54f3f04fe9d65","""value"":""N;U;A7;W""}]"
"54edebdd83abd","""value"":""N;U;A5;W""}]"
"54f3815b06322","""value"":""N;U;A2;W""}]"
"54f4e123ae439","""value"":""N;U;A7;W""}]"
"54f417d40276a","""value"":""Y;U;A7;W""}]"
"54f45e082f67e","""value"":""Y;U;A6;W""}]"
"54f3bdffa11b1","""value"":""N;U;A3;W""}]"
"54f54b478ebf5","""value"":""N;U;I5;W""}]"
"54f4a6dbf1326","""value"":""N;U;A6;W""}]"
"54f32b6ce770b","""value"":""N;C;A7;L""}]"
"54f348a2533cc","""value"":""N;C;A7;L""}]"
"54f420e5008fd","""value"":""Y;U;A4;W""}]"
"54f510942193a","""value"":""N;U;A7;W""}]"
"54f67bbb5ab2c","""value"":""N;U;A7;W""}]"
"54f350ee40cb2","""value"":""N;C;A7;L""}]"
"54f35ed182a8f","""value"":""N;U;A7;W""}]"
"54f4c2daa3979","""value"":""Y;U;A7;W""}]"
"54f31414af0fb","""value"":""N;U;I4;W""}]"
"54f4bbfa655cb","""value"":""N;C;A5;L""}]"
"54f3d3727d7f6","""value"":""N;U;A7;W""}]"
"54f472066fff8","""value"":""Y;U;A7;W""}]"
"54f347e8909be","""value"":""N;U;I5;W""}]"
"54f2f174538fb","""value"":""N;C;A7;L""}]"
"54f36cd101114","""value"":""Y;U;A7;W""}]"
"54f64a263e79f","""value"":""N;C;A7;L""}]"
"54f4f821950cc","""value"":""N;U;A7;W""}]"
"54f695295321f","""value"":""N;U;I1;W""}]"
"54f521d9d1373","""value"":""N;U;A7;W""}]"
"54f66ede35e55","""value"":""N;U;A1;W""}]"
"54f489b3a8fda","""value"":""N;U;A7;W""}]"
"54f67369c6242","""value"":""N;U;A7;L""}]"
"54f5399875ec5","""value"":""N;U;I6;L""}]"
"54f52a167684a","""value"":""N;U;I1;W""}]"
"54f44df327df3","""value"":""N;U;A7;W""}]"
"54f3f736cf3d6","""value"":""N;C;I4;L""}]"
"54f61ad0dd34f","""value"":""N;U;A7;W""}]"
"54f54097a01fc","""value"":""N;U;A5;W""}]"
"54f43c5953448","""value"":""N;U;A3;W""}]"
"54f684909b0e8","""value"":""N;U;A7;W""}]"
"54f569f8ac244","""value"":""N;U;A7;W""}]"
"54f5eb94c9609","""value"":""N;U;A7;L""}]"
"54f66724111fa","""value"":""Y;U;A7;W""}]"
"54f3703c8846e","""value"":""N;U;A5;W""}]"
"54f4f74965cf4","""value"":""N;U;I1;W""}]"
"54f4e0dfc9d3b","""value"":""N;U;A7;W""}]"
"54f50b0aaa5bd","""value"":""N;C;I4;L""}]"
"54f4ab85255f5","""value"":""N;U;A2;W""}]"
"54f34f7ef0a50","""value"":""N;U;A7;W""}]"
"54f3ca0f74fa6","""value"":""N;U;A7;W""}]"
"54f52f1855202","""value"":""N;U;U;W""}]"
"54f5eca71f252","""value"":""Y;U;A1;W""}]"
"54f692016ddf4","""value"":""N;U;A5;W""}]"
"54f3dd41da192","""value"":""N;U;U;L""}]"
"54f3ffc3e275f","""value"":""N;U;A5;W""}]"
"54f5b8a186b98","""value"":""N;U;A7;W""}]"
"54f3e3ea91115","""value"":""Y;U;A1;W""}]"
"54f4ac3ed3ed3","""value"":""N;U;A7;W""}]"
"54f5db5d4b272","""value"":""N;U;I1;W""}]"
"54f3ed093b61c","""value"":""N;U;A7;W""}]"
"54f3f9b378a96","""value"":""N;U;A6;W""}]"
"54f5004e53e40","""value"":""N;U;A4;W""}]"
"54f631a64e8c4","""value"":""N;U;A7;W""}]"
"54f3aca10549d","""value"":""N;U;A5;W""}]"
"54f4f37de65c2","""value"":""N;U;A4;W""}]"
"54f436d93383e","""value"":""N;U;A4;W""}]"
"54f5bbac3c4ac","""value"":""N;U;A7;W""}]"
"54f668634127d","""value"":""Y;U;A7;W""}]"
"54f2c50a9cf90","""value"":""Y;U;A1;W""}]"
"54f4c31d02b15","""value"":""N;U;A4;W""}]"
"54f68d39d3860","""value"":""N;C;A7;L""}]"
"54f5d8d3b9c82","""value"":""N;U;A7;W""}]"
"54f3222a36278","""value"":""N;U;A7;W""}]"
"54f3d38943405","""value"":""N;U;I5;W""}]"
"54f661908c5fa","""value"":""N;U;I2;W""}]"
"54f5c9c832b54","""value"":""N;C;A6;L""}]"
"54f3492230084","""value"":""N;U;I4;W""}]"
"54f6bb30cbdd6","""value"":""N;U;A7;W""}]"
"54f5a05425f87","""value"":""N;U;A7;W""}]"
"54ee08249f00b","""value"":""N;U;A7;W""}]"
"54f47beea49c4","""value"":""N;U;A3;W""}]"
"54f40197f2891","""value"":""N;U;A7;W""}]"
"54f498e51b94d","""value"":""Y;U;A7;W""}]"
"54dbebff6ea88","""value"":""Y;U;A4;W""}]"
"54f67c423a94a","""value"":""N;U;A5;W""}]"
"54f5220754e90","""value"":""N;U;I3;W""}]"
"54f4ab62d2044","""value"":""N;C;A6;L""}]"
"54f5de2371b76","""value"":""N;U;A4;W""}]"
"54f661861b726","""value"":""N;U;A6;W""}]"
"54da9ab7a0166","""value"":""Y;U;A7;W""}]"
"54e1637578645","""value"":""N;U;A7;W""}]"
"54f4b7f1a41c0","""value"":""N;U;I4;W""}]"
"54f39d0c8f635","""value"":""N;U;A7;W""}]"
"54d953acad965","""value"":""N;U;A1;W""}]"
"54f53c72e15cb","""value"":""N;U;A6;W""}]"
"54f5ab79024dc","""value"":""Y;U;A5;W""}]"
"54f3944f5d84b","""value"":""Y;U;A7;W""}]"
