date,source_id,revenue
8/1/14,PA0368,5717
1/31/14,PA0277,1380
6/9/14,PA0745,7535
9/1/14,PA0751,2868
3/12/14,PA0859,10757
8/10/14,PA0470,9988
9/4/14,PA0482,9389
12/6/14,PA0482,2744
6/2/14,PA0830,859
2/11/14,PA0958,4132
6/10/14,PA0923,2820
8/6/14,PA0958,1255
9/18/14,PA0394,7495
7/17/14,PA0552,10749
4/21/14,PA0293,1940
11/24/14,PA0751,3824
5/2/14,PA0696,1108
9/5/14,PA0751,6327
5/16/14,PA0293,4261
1/18/14,PA0470,4142
12/19/14,PA0277,5426
5/4/14,PA0270,6573
7/12/14,PA0808,6792
6/23/14,PA0659,4005
3/25/14,PA0873,398
3/13/14,PA0308,9051
10/16/14,PA0270,10073
8/7/14,PA0198,8144
6/12/14,PA0368,8271
11/8/14,PA0752,1574
7/9/14,PA0659,9447
4/19/14,PA0293,5481
6/26/14,PA0258,3069
3/16/14,PA0482,4110
5/19/14,PA0751,1184
1/4/14,PA0830,8168
11/25/14,PA0859,3702
11/13/14,PA0751,2849
8/21/14,PA0745,3969
5/22/14,PA0607,267
7/25/14,PA0732,5475
3/19/14,PA0607,8875
8/14/14,PA0368,2017
4/28/14,PA0952,3983
6/3/14,PA0368,7888
3/20/14,PA0474,2069
1/15/14,PA0057,7177
4/24/14,PA0696,6695
12/21/14,PA0659,468
12/10/14,PA0843,2885
12/8/14,PA0352,5555
8/10/14,PA0174,5686
7/18/14,PA0352,8506
6/10/14,PA0338,5871
8/16/14,PA0607,10269
8/7/14,PA0973,1936
9/20/14,PA0293,7537
5/25/14,PA0368,814
11/20/14,PA0534,5513
12/21/14,PA0696,8675
11/9/14,PA0526,345
9/11/14,PA0057,11730
5/9/14,PA0474,2874
11/14/14,PA0577,4376
6/22/14,PA0526,5669
2/1/14,PA0808,766
7/22/14,PA0923,5038
3/31/14,PA0168,4409
8/21/14,PA0198,6991
6/28/14,PA0126,6149
3/11/14,PA0470,926
