company_name,company_region,company_city,funding_round_type,funding_round_code
#waywire,New York City,New York,seed,
&TV Communications,Los Angeles,Los Angeles,venture,
&TV Communications,Los Angeles,Los Angeles,venture,
'Rock' Your Paper,Tallinn,Tallinn,seed,
(In)Touch Network,London,London,seed,
-R- Ranch and Mine,Dallas,Fort Worth,equity_crowdfunding,
-R- Ranch and Mine,Dallas,Fort Worth,equity_crowdfunding,
.Club Domains,Ft. Lauderdale,Oakland Park,venture,B
.Fox Networks,Buenos Aires,Buenos Aires,undisclosed,
0-6.com,,,venture,A
004 Technologies,"Springfield, Illinois",Champaign,venture,
01Games Technology,Hong Kong,Hong Kong,seed,
"1,2,3 Listo",Santiago,Las Condes,seed,
1-4 All,NC - Other,Connellys Springs,equity_crowdfunding,
1-800-DENTIST,Los Angeles,Los Angeles,undisclosed,
1-800-DOCTORS,Newark,Iselin,convertible_note,
1.618 Technology,Orlando,Orlando,equity_crowdfunding,
10 Minutes With,London,London,venture,A
10 Minutes With,London,London,seed,
10-20 Media,Baltimore,Woodbine,debt_financing,
10-20 Media,Baltimore,Woodbine,debt_financing,
10-20 Media,Baltimore,Woodbine,debt_financing,
10-20 Media,Baltimore,Woodbine,debt_financing,
1000 Corks,"Portland, Oregon",Lake Oswego,seed,
1000 Markets,,,seed,
1000jobboersen.de,Berlin,Berlin,venture,B
1000memories,SF Bay Area,San Francisco,seed,
1000memories,SF Bay Area,San Francisco,venture,A
1000museums.com,Seattle,Bellevue,venture,
1000museums.com,Seattle,Bellevue,venture,
1000museums.com,Seattle,Bellevue,debt_financing,
1000museums.com,Seattle,Bellevue,venture,
1000museums.com,Seattle,Bellevue,debt_financing,
1000museums.com,Seattle,Bellevue,venture,
1001 Menus,Paris,Paris,seed,
1001 Menus,Paris,Paris,venture,A
1001 Menus,Paris,Paris,venture,A
1001 Menus,Paris,Paris,seed,
1006.tv,Beijing,Beijing,angel,
1006.tv,Beijing,Beijing,venture,A
1006.tv,Beijing,Beijing,venture,B
100du.tv,,,venture,C
100du.tv,,,venture,A
100e.com,Beijing,Beijing,venture,
100e.com,Beijing,Beijing,venture,
100health,Madison,Madison,seed,
100Plus,SF Bay Area,San Francisco,seed,
100Plus,SF Bay Area,San Francisco,venture,
1010data,New York City,New York,venture,
10°North,Toronto,Mississauga,debt_financing,
10BestThings,Cleveland,Cleveland,seed,
10sec,,,seed,
10sec,,,seed,
10seconds Software,Sydney,Sydney,angel,
10Six,New York City,New York,seed,
10X Technologies,SF Bay Area,Oakland,debt_financing,
