Company name,Notes,Status,Last modified,Where to apply,Industry,Location,Founded Date,Founders,Funding Status,Last Funding Type,Number of Employees,Revenue Range,Hug Tags,Ipo Status,Company Type,Number of Acquisitions,Total Funding,Headquarters Location,Headquarters Regions
 GBKSOFT,"
",Hiring  freeze,2020-04-10T16:27:59.000Z,,"Internet, iOS, Mobile, Software, UX Design, Web Design, Web Development",,"May 10, 2011",,,,51-100,$1M to $10M,,Private,,,,"Zaporizhzhya, Zaporiz'ka Oblast', Ukraine",
1A- Product Ventures ,"Product, dev, design, agile coach, user research
",Hiring,2020-04-07T16:04:33.000Z,,,,,,,,,,,,,,,,
1Password,"1Password is still hiring and growing. They currently have some job postings they are actively seeking roles for. https://twitter.com/dteare/status/1246155700759408646
",Hiring,2020-04-07T19:18:31.000Z,https://1password.com/jobs,"Computer, Cyber Security, Enterprise Software, Identity Management, Mobile Devices, Network Security, Privacy, Security, Software",,"Jul 12, 2005","Dave Teare, Roustem Karimov",Early Stage Venture,Series A,101-250,$10M to $50M,,Private,For Profit,,$200M,"Toronto, Ontario, Canada",Great Lakes
1stdibs,"-1 report of hiring freeze
4 reports of layoffs",Hiring  freeze,2020-04-09T21:28:21.000Z,,"Art, E-Commerce, Fashion, Furniture, Marketplace, Online Auctions",,2001,"Laurence Forcione, Michael Bruno",Late Stage Venture,Series D,251-500,$100M to $500M,,Private,For Profit,2,$253M,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US"
1sts ,"
",Hiring  freeze,2020-04-06T16:29:48.000Z,,,,,,,,,,,,,,,,
2K,"Hiring for both Publishing and Studios. https://2k.com/en-US/jobs/
",Hiring,2020-04-02T04:01:03.000Z,,"Developer APIs, Publishing, Sports, Video Games",,2005,,,,1001-5000,Less than $1M,,Private,For Profit,,,"Novato, California, United States","San Francisco Bay Area, West Coast, Western US"
2U,"Multiple reports of a hiring freeze. Details below:
Hiring freeze:",Hiring  freeze,2020-04-06T18:15:57.000Z,,,,,,,,,,,,,,,,
3 Birds Marketing,"
",Layoffs,2020-04-01T01:38:10.000Z,,"Social Media, Software",,2009,,,,51-100,Less than $1M,,Private,,,,"Chapel Hill, North Carolina, United States","Research Triangle, East Coast, Southern US"
3dhubs,"
",Hiring,2020-03-31T20:12:01.000Z,https://www.3dhubs.com/jobs/,,,,,,,,,,,,,,,
3i Infotech,"
",Hiring,2020-04-10T17:32:26.000Z,,"Banking, Business Intelligence, Information Technology, Software",,1993,,IPO,,5001-10000,,,Public,For Profit,4,,"Mumbai, Maharashtra, India",Asia-Pacific (APAC)
3m,"Multiple reports of continued hiring (3) and a hiring freeze (4).
","Hiring,Hiring  freeze",2020-04-08T23:58:22.000Z,,"Automotive, Electronics, Enterprise Software",,1902,,IPO,,10001+,$1B to $10B,,Public,For Profit,76,,"Saint Paul, Minnesota, United States","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US"
3N,"
",Hiring,2020-04-01T01:39:14.000Z,,,,,,,,,,,,,,,,
3Play Media,"Hiring for Business Development Representatives, Account Executives, and Account Managers
",Hiring,2020-04-01T01:39:23.000Z,,"Enterprise Software, Translation Service, Video",,2007,"Chris Antunes, CJ Johnson, Jeremy Barrron, Josh Miller, Joshua Miller",M&A,Private Equity,11-50,,,Private,For Profit,,,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England"
3q digital,"Received an email notifying me that they would be unable to proceed with further interviews at this time, due to the growing concerns with COVID-19
","Hiring,Hiring  freeze",2020-04-09T16:16:50.000Z,,"Advertising, Analytics, Semantic Search, Social Media, Social Media Advertising",,2008,"David Rodnitzky, Will Lin",M&A,Venture - Series Unknown,101-250,,,Private,,,,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast"
3rd I visuals,"Business development
",Hiring,2020-04-06T19:59:09.000Z,,,,,,,,,,,,,,,,
4 Degrees,"
",Hiring,2020-04-06T17:29:41.000Z,,,,,,,,,,,,,,,,
4Degrees,2 reports of hiring,Hiring,2020-04-07T18:02:38.000Z,,"Computer, Computer Vision, Internet",,"Feb 2, 2017","Ablorde Ashigbi, David Vandegrift",Seed,Pre-Seed,1-10,,,Private,For Profit,,$1M,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US"
5CA,"
",Hiring,2020-04-06T23:30:14.000Z,,"Electronics, Gaming, Video Games",,1998,,,,101-250,$10M to $50M,,Private,,,,"Utrecht, Utrecht, The Netherlands",European Union (EU)
6sense,"All Roles, hiring extensively in India
",Hiring,2020-04-07T15:55:19.000Z,,"Artificial Intelligence, B2B, Big Data, Marketing, Predictive Analytics, Sales",,2013,"Amanda Kahlow, Dustin Chang, Premal Shah, Shane Moriah, Viral Bajaria",Late Stage Venture,Series C,101-250,$10M to $50M,Pledge 1%,Private,For Profit,1,$103M,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US"
7-11,"
",Hiring,2020-04-01T16:16:21.000Z,,,,,,,,,,,,,,,,
7Geese,"Across the company
",Hiring  freeze,2020-04-04T18:56:25.000Z,,"Employment, Human Resources, Private Social Networking, SaaS",,2010,"Amin Palizban, Kevin Fales, Numan Sachwani",,Debt Financing,11-50,$1M to $10M,,Private,,,$1.5M,"Vancouver, British Columbia, Canada",
8x8,"
","Hiring,Hiring  freeze",2020-04-08T18:17:17.000Z,,,,,,,,,,,,,,,,
10x Genomics,"Actively hiring across the organisation
","Hiring,Hiring  freeze",2020-04-04T14:59:34.000Z,https://www.10xgenomics.com/careers/,,,,,,,,,,,,,,,
12,"
",Hiring,2020-04-06T17:39:09.000Z,,,,,,,,,,,,,,,,
15Five,"
",Hiring  freeze,2020-04-09T23:53:09.000Z,,"Enterprise Software, Human Resources, Information Technology, SaaS, Software",,"May 1, 2011","David Hassell, Nazar Ivaniv",Early Stage Venture,Series B,101-250,$1M to $10M,,Private,For Profit,,$42.1M,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US"
22nd century technologies ,"
","Hiring,Hiring  freeze",2020-04-04T15:16:10.000Z,,"Government, Information Services, Information Technology, Infrastructure, IT Infrastructure",,1997,,,,1001-5000,$100M to $500M,,Private,For Profit,,,"Somerset, New Jersey, United States","Greater New York Area, East Coast, Northeastern US"
22squared,"
",Hiring,2020-04-08T22:32:09.000Z,,"Advertising, Brand Marketing, Digital Media",,1922,,,,251-500,$10M to $50M,,Private,For Profit,,,"Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US"
23andMe,"Full-stop hiring freeze for now; summer 2020 internship program cancelled
",Hiring  freeze,2020-03-29T01:47:02.000Z,https://www.23andme.com/careers/,"Biotechnology, Consumer, Genetics",,"Apr 1, 2006","Anne Wojcicki, Linda Avey, Paul Cusenza",,Secondary Market,501-1000,$100M to $500M,Unicorn,Private,For Profit,1,,"Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast"
24 Seven Talent,"Layoffs across the company (include Executive, Business Development, Account Management)",Layoffs,2020-04-08T23:51:51.000Z,,,,,,,,,,,,,,,,
84 lambord,"
",Hiring,2020-04-06T23:40:14.000Z,,,,,,,,,,,,,,,,
99.co,"
",Hiring,2020-04-05T12:43:45.000Z,,"Internet, Real Estate, Real Estate Investment, Search Engine",,"Jan 8, 2014","Conor McLaughlin, Darius Cheung, Dominic Ee, Ruiwen Chua, Saurabh Mandar, Yan Phun",Late Stage Venture,Series C,11-50,$1M to $10M,,Private,For Profit,2,$33.1M,"Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia"
100 Thieves,"
",Hiring,2020-04-07T00:45:10.000Z,,"Digital Media, eSports, Gaming, Online Games, PC Games",,2016,Matthew Haag,Early Stage Venture,Series B,51-100,$10M to $50M,,Private,For Profit,,$60M,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US"
160over90,Had second round of interviews frozen.,Hiring  freeze,2020-04-07T00:35:44.000Z,,"Advertising, Marketing, Public Relations",,2000,"Darryl Cilli, Shannon Price Slusher",M&A,,51-100,,,Private,For Profit,,,"Philadelphia, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US"
360i,4 reports of hiring freezes,Hiring  freeze,2020-04-07T00:36:02.000Z,https://360i.com/careers/,"Advertising, App Marketing, Creative Agency, Digital Media, SEM, Social Media",,1998,,,,501-1000,$100M to $500M,,Private,,,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US"
1010data,"All roles on website are opened for hiring
",Hiring,2020-03-28T21:52:58.000Z,https://www.1010data.com/company/careers/open-positions/,"Analytics, Big Data, Internet, Machine Learning, Software",,2000,"Joel Kaplan, Sandy Steier",M&A,Venture - Series Unknown,101-250,,,Private,For Profit,,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US"
1978,"
","Hiring,Hiring  freeze",2020-04-10T17:32:05.000Z,,,,,,,,,,,,,,,,
a cloud,"
",Hiring,2020-04-09T16:19:00.000Z,,,,,,,,,,,,,,,,
A Cultivated Mindset ,"
",Hiring,2020-04-08T20:53:24.000Z,,"Data Integration, Enterprise Applications, Information Technology, Software, Web Development",,2011,,,,11-50,,,,,,,,
a-connect,"
",Hiring  freeze,2020-04-05T20:11:43.000Z,,"Consulting, Human Resources, Management Consulting, Professional Services, Small and Medium Businesses",,2003,"Hanne de Mora, Nils Hagander",,,101-250,Less than $1M,,Private,For Profit,,,"Zürich, Zurich, Switzerland",
A.T. Kearney,"
",Hiring  freeze,2020-04-07T18:03:47.000Z,,"Collaboration, Consulting, Information Technology, Management Consulting",,1926,,,,1001-5000,,,Private,For Profit,1,,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US"
A&E Networks,"3 reports of hiring freezes
",Hiring  freeze,2020-04-06T20:19:37.000Z,,,,,,,,,,,,,,,,
A^3 by Airbus,"
",Hiring  freeze,2020-04-07T18:04:05.000Z,,,,,,,,,,,,,,,,
A2zroomz,"1 report of layoff for Sales Outbound Executive (4/6)
1 report of layoffs related to hospitality and servicing (3/31)
",Layoffs,2020-04-07T00:37:45.000Z,,"Tourism, Travel, Travel Accommodations, Travel Agency",,"Oct 28, 2017",,,,51-100,,,Private,For Profit,,,"Gurgaon, Haryana, India",Asia-Pacific (APAC)
AAA,All contractors have been laid off,"Hiring  freeze,Hiring",2020-04-07T18:04:15.000Z,,,,,,,,,,,,,,,,
AAA Club Alliance,"Insurance, Car Care, Fleet Drivers
",Hiring,2020-04-08T23:57:08.000Z,,,,,,,,,,,,,,,,
